City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
88,atuona,12,PF,1535212912,100,-9.8,-139.03,78.65,17.58
89,roebourne,0,AU,1535212912,74,-20.77,117.15,52.37,3.94
90,kibondo,80,TZ,1535212912,89,-3.59,30.72,65.6,3.15
91,kazachinskoye,0,RU,1535212912,83,57.69,93.28,57.05,4.94
92,brainerd,90,US,1535212140,100,46.36,-94.2,66.2,4.61
93,vadso,80,NO,1535210400,82,70.07,29.75,62.6,21.92
94,nikolskoye,75,RU,1535209200,73,59.7,30.79,69.8,6.71
95,sikasso,80,ML,1535212913,93,11.32,-5.68,73.88,13.0
96,timizart,48,DZ,1535212913,28,36.8,4.25,88.82,2.48
97,yurty,0,RU,1535212914,66,56.05,97.64,62.36,5.17
98,cururupu,68,BR,1535212914,68,-1.82,-44.87,86.48,12.21
99,bluff,80,AU,1535212914,92,-23.58,149.07,60.38,8.75
100,shimoda,36,JP,1535212914,91,34.7,138.93,80.27,17.81
101,mattru,56,SL,1535212915,92,7.62,-11.83,81.17,7.63
102,cockburn town,76,TC,1535212915,94,21.46,-71.14,84.5,19.15
103,mount gambier,80,AU,1535212881,81,-37.83,140.78,41.48,4.38
104,san jeronimo,0,PE,1535209200,57,-13.65,-73.37,51.8,2.48
105,bosobolo,20,CD,1535212916,81,4.19,19.88,81.53,4.5
106,chuy,8,UY,1535212895,79,-33.69,-53.46,53.45,30.67
107,canutama,0,BR,1535212916,75,-6.53,-64.38,87.47,3.15
108,corinth,20,GR,1535210400,51,37.94,22.93,86.0,11.41
109,vila velha,20,BR,1535212800,58,-3.71,-38.6,86.0,17.22
110,northam,20,GB,1535210400,42,51.04,-4.21,64.4,10.29
111,puerto quijarro,0,BO,1535209200,27,-19.0,-57.72,73.4,9.17
112,melfort,90,CA,1535209200,93,52.87,-104.61,46.4,10.29
113,nizhniy odes,0,RU,1535212918,77,63.64,54.86,57.14,3.04
114,ribeira grande,40,PT,1535211000,69,38.52,-28.7,77.0,6.93
115,katherine,75,AU,1535211000,53,-14.47,132.26,71.6,8.05
116,chokurdakh,68,RU,1535212887,90,70.62,147.9,39.68,6.17
117,roald,40,NO,1535210400,76,62.58,6.12,57.2,10.29
118,sept-iles,90,CA,1535209200,68,50.2,-66.38,66.2,4.7
119,thompson,90,CA,1535209200,100,55.74,-97.86,44.6,9.17
120,los llanos de aridane,20,ES,1535211000,69,28.66,-17.92,78.8,11.41
121,kralendijk,8,BQ,1535208900,62,12.15,-68.27,87.8,19.46
122,kibala,40,TD,1535209200,70,9.11,18.35,84.2,12.21
123,saint-pierre,0,FR,1535211000,39,48.95,4.24,68.0,10.29
124,kutum,44,SD,1535212921,68,14.2,24.66,78.65,3.94
125,bilibino,92,RU,1535212921,98,68.06,166.44,34.1,2.93
126,avarua,20,CK,1535209200,88,-21.21,-159.78,73.4,8.05
127,kodiak,1,US,1535212380,74,39.95,-94.76,84.02,9.17
128,mar del plata,8,AR,1535212626,52,-46.43,-67.52,56.78,17.58
129,avera,40,US,1535211300,64,33.19,-82.53,82.94,6.93
130,pevek,88,RU,1535212725,100,69.7,170.27,35.09,10.42
131,vaini,88,IN,1535212922,98,15.34,74.49,67.67,5.61
132,norman wells,75,CA,1535209500,93,65.28,-126.83,48.2,2.24
133,khatanga,0,RU,1535212923,67,71.98,102.47,52.82,10.09
134,morro bay,90,US,1535208960,80,35.37,-120.85,60.08,5.82
135,san quintin,75,PH,1535209200,94,17.54,120.52,77.0,4.7
136,zhigansk,0,RU,1535212923,66,66.77,123.37,51.38,6.06
137,gao,12,ML,1535212924,54,16.28,-0.04,94.85,9.53
138,bellavista,76,CO,1535212924,96,6.57,-76.89,75.14,2.71
139,cayenne,20,GF,1535211000,55,4.94,-52.33,89.6,8.05
140,georgetown,75,GY,1535209200,70,6.8,-58.16,86.0,11.41
141,pamyat parizhskoy kommuny,20,RU,1535209200,60,56.1,44.5,75.2,4.47
142,hasaki,75,JP,1535209200,88,35.73,140.83,80.6,3.36
143,castro,92,CL,1535212870,99,-42.48,-73.76,50.75,5.39
144,lincoln,1,US,1535212500,67,40.8,-96.67,82.58,4.7
145,kaitangata,0,NZ,1535212926,73,-46.28,169.85,46.07,16.46
146,helong,92,CN,1535212926,98,25.94,116.13,70.64,2.71
147,grand-santi,0,GF,1535212927,54,4.27,-54.38,88.82,3.71
148,namie,8,JP,1535212927,92,37.52,140.86,77.12,3.94
149,saint-philippe,1,CA,1535211300,57,45.36,-73.48,80.6,4.7
150,saskylakh,0,RU,1535212928,88,71.97,114.09,45.98,7.18
151,vardo,5,US,1535212020,54,39.62,-77.74,78.8,4.7
152,grand gaube,40,MU,1535209200,69,-20.01,57.66,73.4,12.75
153,abu dhabi,0,AE,1535209200,71,24.47,54.37,96.8,9.17
154,pushkinskiye gory,44,RU,1535212929,78,57.02,28.91,73.34,12.21
155,cabo san lucas,20,MX,1535208360,62,22.89,-109.91,84.2,6.17
156,carnarvon,0,ZA,1535212724,16,-30.97,22.13,61.01,20.27
157,catuday,92,PH,1535212929,100,16.29,119.81,75.5,10.54
158,sergiyevsk,0,RU,1535212930,67,53.94,51.16,65.15,6.96
159,ponta do sol,68,BR,1535212725,91,-20.63,-46.0,68.93,3.04
160,mao,75,DO,1535209200,58,19.55,-71.08,89.6,18.34
161,tottori,0,JP,1535212931,90,35.5,134.23,75.86,3.15
162,porto-vecchio,0,FR,1535211000,54,41.59,9.28,87.8,19.46
163,ternate,75,PH,1535209200,100,14.29,120.72,82.4,8.05
164,san policarpo,44,PH,1535212931,100,12.18,125.51,77.3,5.61
165,seoul,20,KR,1535211000,73,37.57,126.98,73.4,5.82
166,san jose ojetenan,90,GT,1535208420,83,15.22,-91.97,80.6,1.92
167,kroya,0,ID,1535212932,91,-6.5,108.06,72.89,1.7
168,cape town,75,ZA,1535209200,76,-33.93,18.42,57.2,33.33
169,cherskiy,80,RU,1535212726,99,68.75,161.3,35.0,7.18
170,esperance,75,TT,1535209200,66,10.24,-61.45,86.0,13.87
171,yulara,0,AU,1535209200,42,-25.24,130.99,44.6,3.36
172,carballo,20,ES,1535211000,68,43.21,-8.69,71.6,9.17
173,lazaro cardenas,40,MX,1535208780,60,28.39,-105.62,71.6,4.16
174,sol-iletsk,0,RU,1535212934,38,51.16,55.0,69.92,11.43
175,bodden town,20,KY,1535209200,66,19.28,-81.25,87.8,12.75
176,finschhafen,80,PG,1535212934,96,-6.6,147.85,70.19,3.04
177,airai,76,TL,1535212742,93,-8.93,125.41,68.75,2.04
178,torbay,90,CA,1535209200,60,47.66,-52.73,73.4,12.75
179,silver city,1,US,1535212500,53,32.77,-108.28,73.58,9.17
180,kavieng,76,PG,1535212991,100,-2.57,150.8,83.33,3.49
181,sorland,92,NO,1535212937,100,67.67,12.69,52.82,15.01
182,prado,0,BR,1535212937,96,-17.34,-39.22,76.85,10.2
183,tuatapere,0,NZ,1535212937,95,-46.13,167.69,49.76,19.15
184,buala,88,SB,1535212938,99,-8.15,159.59,78.92,6.06
185,sines,0,PT,1535212938,74,37.96,-8.87,72.8,20.71
186,faanui,88,PF,1535212938,100,-16.48,-151.75,79.82,10.09
187,marienburg,75,DE,1535210400,62,52.12,9.98,62.6,11.41
188,berezovyy,32,RU,1535212939,89,51.67,135.7,55.88,2.15
189,key largo,90,US,1535211600,79,25.09,-80.45,80.06,9.17
190,port elizabeth,20,US,1535212500,55,39.31,-74.98,80.06,5.82
191,kargasok,8,RU,1535212940,90,59.06,80.87,57.14,4.5
192,itubera,0,BR,1535212940,79,-13.73,-39.15,79.91,9.08
193,luanda,0,AO,1535209200,73,-8.83,13.24,75.2,6.93
194,dulce grande,5,MX,1535209080,52,23.0,-102.17,66.2,6.17
195,havre-saint-pierre,20,CA,1535209200,73,50.23,-63.6,69.8,14.99
196,leningradskiy,92,RU,1535212941,100,69.38,178.42,36.62,10.76
197,santiago,0,CL,1535212800,35,-33.44,-70.65,57.2,2.24
198,geraldton,90,CA,1535210820,93,49.72,-86.95,62.6,4.7
199,bela,0,PK,1535212858,54,26.23,66.31,84.32,5.39
200,vestmanna,80,FO,1535210400,87,62.16,-7.17,48.2,4.7
201,camacha,40,PT,1535211000,69,33.08,-16.33,78.8,16.11
202,longyearbyen,40,NO,1535208600,60,78.22,15.63,41.0,19.46
203,coquimbo,0,CL,1535209200,58,-29.95,-71.34,59.0,14.99
204,lagunas,0,PE,1535212943,75,-5.23,-75.68,85.31,3.04
205,toccoa,1,US,1535211300,64,34.58,-83.33,78.08,3.15
206,calabozo,8,VE,1535212943,79,8.92,-67.43,84.95,13.22
207,marawi,44,PH,1535212944,98,8.0,124.29,67.85,1.14
208,viedma,0,AR,1535212839,47,-40.81,-62.99,53.9,9.19
209,hohhot,0,CN,1535209200,77,40.81,111.65,62.6,4.47
210,ilulissat,90,GL,1535212200,81,69.22,-51.1,42.8,9.17
211,kolhapur,88,IN,1535212945,97,16.7,74.24,70.55,11.43
212,kampot,80,KH,1535212945,79,10.62,104.18,79.28,5.39
213,marsh harbour,8,BS,1535212836,96,26.54,-77.06,84.86,13.44
214,iqaluit,75,CA,1535209200,93,63.75,-68.52,41.0,6.93
215,waingapu,0,ID,1535212946,91,-9.65,120.26,69.38,5.06
216,nicolas bravo,5,MX,1535208300,63,24.39,-104.74,64.4,3.15
217,izumo,75,JP,1535209200,88,35.37,132.75,78.8,2.24
218,chicholi,92,IN,1535212947,94,21.45,79.7,74.42,6.17
219,biak,88,ID,1535212947,96,-0.91,122.88,77.12,3.15
220,caceres,8,CO,1535212948,71,5.53,-74.53,77.66,2.37
